date,description,amount,category,type,payment_method
2025-07-24,Uber Uber *Trip Help.U,8.98,Uber,expense,Crédito - Nubank
2025-07-24,Uber Uber *Trip Help.U,10.92,Uber,expense,Crédito - Nubank
2025-07-23,Supermercado Lider Can,231.01,Supermercado,expense,Crédito - Nubank
2025-07-21,99app *99app,9.94,Uber,expense,Crédito - Nubank
2025-07-20,99app *99app,27.92,Uber,expense,Crédito - Nubank
2025-07-18,Uber Uber *Trip Help.U,23.91,Uber,expense,Crédito - Nubank
2025-07-18,Dl *Google Youtube Mem,7.99,Streaming,expense,Crédito - Nubank
2025-07-18,Uber* Trip,9.99,Uber,expense,Crédito - Nubank
2025-07-18,Supermercado Lider Can,30.24,Supermercado,expense,Crédito - Nubank
2025-07-18,Supermercado Lider Can,45.70,Supermercado,expense,Crédito - Nubank
2025-07-17,Mp *Melimais,24.90,Outros,expense,Crédito - Nubank
2025-07-17,99app *99app,4.70,Uber,expense,Crédito - Nubank
2025-07-17,99app *99app,7.00,Uber,expense,Crédito - Nubank
2025-07-16,Supermercado Lider Can,264.03,Supermercado,expense,Crédito - Nubank
2025-07-14,Linkedin,34.99,Software,expense,Crédito - Nubank
2025-07-14,Uber Uber *Trip Help.U,12.92,Uber,expense,Crédito - Nubank
2025-07-14,Uber Uber *Trip Help.U,0.81,Uber,expense,Crédito - Nubank
2025-07-13,Uber* Trip,12.96,Uber,expense,Crédito - Nubank
2025-07-13,Burger King App,57.40,Lanche,expense,Crédito - Nubank
2025-07-13,Cinepolis Operadora de,22.50,Cinema,expense,Crédito - Nubank
2025-07-11,99app *99app,4.80,Uber,expense,Crédito - Nubank
2025-07-10,Supermercado Lider Can,193.02,Supermercado,expense,Crédito - Nubank
2025-07-10,Uber Uber *Trip Help.U,14.92,Uber,expense,Crédito - Nubank
2025-07-09,Uber* Trip,9.93,Uber,expense,Crédito - Nubank
2025-07-09,Dl *Google Youtube,6.99,Streaming,expense,Crédito - Nubank
2025-07-09,Uber* Trip,12.94,Uber,expense,Crédito - Nubank
2025-07-06,99app *99app,18.70,Uber,expense,Crédito - Nubank
2025-07-06,Uber Uber *Trip Help.U,17.98,Uber,expense,Crédito - Nubank
2025-07-06,Selfitsobrs,0.99,Outros,expense,Crédito - Nubank
2025-07-05,Mrfox,75.00,Outros,expense,Crédito - Nubank
2025-06-30,Supermercado Lider Can,204.29,Supermercado,expense,Crédito - Nubank
2025-06-29,Uber* Trip,13.67,Uber,expense,Crédito - Nubank
2025-06-29,Uber Uber *Trip Help.U,15.90,Uber,expense,Crédito - Nubank
2025-06-28,Uber* Trip,8.94,Uber,expense,Crédito - Nubank
2025-06-28,Uber Uber *Trip Help.U,8.09,Uber,expense,Crédito - Nubank
2025-06-26,Uber* Trip,9.96,Uber,expense,Crédito - Nubank
2025-06-26,Uber* Trip,7.97,Uber,expense,Crédito - Nubank
2025-06-26,Uber Uber *Trip Help.U,6.90,Uber,expense,Crédito - Nubank
2025-06-26,Uber* Trip,9.96,Uber,expense,Crédito - Nubank
2025-06-25,Ec *Ingressomix,161.00,Cinema,expense,Crédito - Nubank
2025-06-25,Uber Uber *Trip Help.U,12.96,Uber,expense,Crédito - Nubank
2025-06-25,Uber Uber *Trip Help.U,8.97,Uber,expense,Crédito - Nubank
2025-06-25,Uber* Trip,7.96,Uber,expense,Crédito - Nubank
2025-06-25,Supermercado Lider Can,112.03,Supermercado,expense,Crédito - Nubank
2025-06-25,Uber Uber *Trip Help.U,6.96,Uber,expense,Crédito - Nubank
2025-06-24,Extrafarma Almirante B,12.49,Farmácia,expense,Crédito - Nubank
2025-06-24,Lavanderia Mariabonita,33.80,Lavanderia,expense,Crédito - Nubank
2025-06-24,Supercentro,3.50,Supermercado,expense,Crédito - Nubank
2025-06-24,Uber* Trip,6.99,Uber,expense,Crédito - Nubank
2025-06-24,Supercentro,110.34,Supermercado,expense,Crédito - Nubank
2025-06-24,Uber Uber *Trip Help.U,10.92,Uber,expense,Crédito - Nubank
2025-06-24,Uber* Trip,10.96,Uber,expense,Crédito - Nubank
