date,description,amount
2025-11-02,Kfc Belem Boulevard,66.80
2025-11-02,Cinepolis Operadora de,44.00
2025-11-02,Uber Uber *Trip Help.U,16.95
2025-11-02,Dm *Spotify,40.90
2025-10-31,Hav Belem Comercio de,49.99
2025-10-31,Supermercado Formosa,120.69
2025-10-31,Dl *Google Youtubeprem,53.90
2025-10-30,Drogarias Ultra Popula - Parcela 1/3,68.63
2025-10-28,Uber* Trip,8.58
2025-10-28,Uber* Trip,12.32
2025-10-28,Blu *Studio Glasses - Parcela 1/6,91.70
2025-10-28,Uber Uber *Trip Help.U,14.90
2025-10-27,Jetshr,6.89
2025-10-27,Uber* Trip,7.94
2025-10-27,Uber Uber *Trip Help.U,7.93
2025-10-27,Uber Uber *Trip Help.U,8.01
2025-10-26,Uber Uber *Trip Help.U,8.96
2025-10-26,Supermercado Lider Can - Parcela 1/5,37.54
2025-10-26,Google Youtube,16.90
2025-10-26,Uber* Trip,11.10
2025-10-25,Grupo Casas Bahia - Parcela 1/3,79.34
2025-10-25,Uber* Trip,11.95
2025-10-25,Uber* Trip,15.96
2025-10-25,Uber* Trip,13.99
2025-10-24,Uber* Trip,9.90
2025-10-24,Pg *99 Ride,5.10
2025-10-24,Uber* Trip,13.97
2025-10-24,Uber* Trip,10.92
2025-10-24,Uber Uber *Trip Help.U,10.91
2025-10-23,Amazonmktplc*Nunclickc,38.00
2025-10-22,Amazon - Parcela 1/5,35.10
2025-10-22,Nordeste - Parcela 1/12,166.74
2025-10-22,Pg *99 Ride,13.10
2025-10-21,Dl*Google Crunch,19.99
2025-10-21,Broca Burguer,29.99
2025-10-21,Uber Uber *Trip Help.U,8.95
2025-10-21,Bar da Fiel,29.00
2025-10-20,Uber Uber *Trip Help.U,9.96
2025-10-20,Supermercado Lider Can,100.41
2025-10-20,Uber Uber *Trip Help.U,4.56
2025-10-19,Uber* Trip,11.94
2025-10-19,Cafe Com Arte,27.50
2025-10-19,Uber* Trip,7.97
2025-10-19,Uber* Trip,15.98
2025-10-19,Cafe Com Arte,40.00
2025-10-19,Uber* Trip,4.90
2025-10-19,Geek Burger,143.67
2025-10-18,Dl*Google Youtub,6.99
2025-10-17,Uber* Trip,13.95
2025-10-17,Adrianebatistamel - Parcela 1/3,108.87
2025-10-17,Uber Uber *Trip Help.U,8.95
2025-10-17,Jetshr,4.47
2025-10-15,Geloou Sorveteria,48.99
2025-10-15,Ec *Melimais,24.90
2025-10-14,Uber* Trip,9.97
2025-10-14,Linkedin,69.99
2025-10-13,Www_contabo_com,36.75
2025-10-13,Uber* Trip,5.15
2025-10-13,"IOF de ""Www_contabo_com""",1.28
2025-10-12,Pg *99 Ride,7.10
2025-10-12,Supermercado Lider Can,144.06
2025-10-12,Uber* Trip,8.00
2025-10-11,Netflix.Com,59.90
2025-10-10,Pg *99 Ride,9.10
2025-10-10,Sr. Forneria Pizzas,68.00
2025-10-10,Dl*Google Youtub,6.99
2025-10-10,Dl*99 Ride,7.50
2025-10-09,Uber Uber *Trip Help.U,9.83
2025-10-09,Uber* Trip,12.98
2025-10-09,Uber* Trip,11.96
2025-10-07,Uber Uber *Trip Help.U,9.05
2025-10-07,Uber Uber *Trip Help.U,8.22
2025-10-07,Supermercado Lider Can,174.37
2025-10-06,Uber* Trip,8.97
2025-10-06,Zig*Pai Degua Steak Be,75.00
2025-10-06,Uber* Trip,6.74
2025-10-05,Uber* Trip,7.17
2025-10-05,Uber* Trip,25.95
2025-10-05,Sal e Brasa Grill,51.90
2025-10-05,Cinepolis Operadora de,70.00
2025-10-03,Uber Uber *Trip Help.U,5.93
2025-10-03,Jeronimo'S Restaurant,78.01
2025-10-03,Uber Uber *Trip Help.U,5.94
