date,description,amount,category,payment_method
2025-11-02,Kfc Belem Boulevard,66.8,Lanche,Crédito - Nubank
2025-11-02,Cinepolis Operadora de,44.0,Cinema,Crédito - Nubank
2025-11-02,Uber Uber *Trip Help.U,16.95,Uber,Crédito - Nubank
2025-11-02,Dm *Spotify,40.9,Streaming,Crédito - Nubank
2025-10-31,Sandalia Hav Belem Comercio de,49.99,Vestuario,Crédito - Nubank
2025-10-31,Supermercado Formosa,120.69,Supermercado,Crédito - Nubank
2025-10-28,Uber* Trip,8.58,Uber,Crédito - Nubank
2025-10-28,Uber* Trip,12.32,Uber,Crédito - Nubank
2025-10-28,Uber Uber *Trip Help.U,14.9,Uber,Crédito - Nubank
2025-10-27,Jetshr,6.89,Outros,Crédito - Nubank
2025-10-27,Uber* Trip,7.94,Uber,Crédito - Nubank
2025-10-27,Uber Uber *Trip Help.U,7.93,Uber,Crédito - Nubank
2025-10-27,Uber Uber *Trip Help.U,8.01,Uber,Crédito - Nubank
2025-10-26,Uber Uber *Trip Help.U,8.96,Uber,Crédito - Nubank
2025-10-26,Google Youtube,16.9,Streaming,Crédito - Nubank
2025-10-26,Uber* Trip,11.1,Uber,Crédito - Nubank
2025-10-25,Uber* Trip,11.95,Uber,Crédito - Nubank
2025-10-25,Uber* Trip,15.96,Uber,Crédito - Nubank
2025-10-25,Uber* Trip,13.99,Uber,Crédito - Nubank
2025-10-24,Uber* Trip,9.9,Uber,Crédito - Nubank
2025-10-24,Pg *99 Ride,5.1,Uber,Crédito - Nubank
2025-10-24,Uber* Trip,13.97,Uber,Crédito - Nubank
2025-10-24,Uber* Trip,10.92,Uber,Crédito - Nubank
2025-10-24,Uber Uber *Trip Help.U,10.91,Uber,Crédito - Nubank
2025-10-23,Amazonmktplc*Nunclickc,38.0,Amazon,Crédito - Nubank
2025-10-22,Pg *99 Ride,13.1,Uber,Crédito - Nubank
2025-10-21,Broca Burguer,29.99,Lanche,Crédito - Nubank
2025-10-21,Uber Uber *Trip Help.U,8.95,Uber,Crédito - Nubank
2025-10-21,Bar da Fiel,29.0,Lazer,Crédito - Nubank
2025-10-20,Uber Uber *Trip Help.U,9.96,Uber,Crédito - Nubank
2025-10-20,Supermercado Lider Can,100.41,Supermercado,Crédito - Nubank
2025-10-20,Uber Uber *Trip Help.U,4.56,Uber,Crédito - Nubank
2025-10-19,Uber* Trip,11.94,Uber,Crédito - Nubank
2025-10-19,Cafe Com Arte,27.5,Lanche,Crédito - Nubank
2025-10-19,Uber* Trip,7.97,Uber,Crédito - Nubank
2025-10-19,Uber* Trip,15.98,Uber,Crédito - Nubank
2025-10-19,Cafe Com Arte,40.0,Lanche,Crédito - Nubank
2025-10-19,Uber* Trip,4.9,Uber,Crédito - Nubank
2025-10-19,Geek Burger,143.67,Lanche,Crédito - Nubank
2025-10-18,Dl*Google Youtub,6.99,Streaming,Crédito - Nubank
2025-10-17,Uber* Trip,13.95,Uber,Crédito - Nubank
2025-10-17,Uber Uber *Trip Help.U,8.95,Uber,Crédito - Nubank
2025-10-17,Jetshr,4.47,Outros,Crédito - Nubank
2025-10-15,Geloou Sorveteria,48.99,Lanche,Crédito - Nubank
2025-10-14,Uber* Trip,9.97,Uber,Crédito - Nubank
2025-10-14,Linkedin,69.99,Educação,Crédito - Nubank
2025-10-13,Www_contabo_com,36.75,Software,Crédito - Nubank
2025-10-13,Uber* Trip,5.15,Uber,Crédito - Nubank
2025-10-13,"IOF de ""Www_contabo_com""",1.28,Software,Crédito - Nubank
2025-10-12,Pg *99 Ride,7.1,Uber,Crédito - Nubank
2025-10-12,Supermercado Lider Can,144.06,Supermercado,Crédito - Nubank
2025-10-12,Uber* Trip,8.0,Uber,Crédito - Nubank
2025-10-11,Netflix.Com,59.9,Streaming,Crédito - Nubank
2025-10-10,Pg *99 Ride,9.1,Uber,Crédito - Nubank
2025-10-10,Sr. Forneria Pizzas,68.0,Jantar,Crédito - Nubank
2025-10-10,Dl*Google Youtub,6.99,Streaming,Crédito - Nubank
2025-10-10,Dl*99 Ride,7.5,Uber,Crédito - Nubank
2025-10-09,Uber Uber *Trip Help.U,9.83,Uber,Crédito - Nubank
2025-10-09,Uber* Trip,12.98,Uber,Crédito - Nubank
2025-10-09,Uber* Trip,11.96,Uber,Crédito - Nubank
2025-10-07,Uber Uber *Trip Help.U,9.05,Uber,Crédito - Nubank
2025-10-07,Uber Uber *Trip Help.U,8.22,Uber,Crédito - Nubank
2025-10-07,Supermercado Lider Can,174.37,Supermercado,Crédito - Nubank
2025-10-06,Uber* Trip,8.97,Uber,Crédito - Nubank
2025-10-06,Zig*Pai Degua Steak Be,75.0,Jantar,Crédito - Nubank
2025-10-06,Uber* Trip,6.74,Uber,Crédito - Nubank
2025-10-05,Uber* Trip,7.17,Uber,Crédito - Nubank
2025-10-05,Uber* Trip,25.95,Uber,Crédito - Nubank
2025-10-05,Sal e Brasa Grill,51.9,Jantar,Crédito - Nubank
2025-10-05,Cinepolis Operadora de,70.0,Cinema,Crédito - Nubank
2025-10-03,Uber Uber *Trip Help.U,5.93,Uber,Crédito - Nubank
2025-10-03,Jeronimo'S Restaurant,78.01,Jantar,Crédito - Nubank
2025-10-03,Uber Uber *Trip Help.U,5.94,Uber,Crédito - Nubank
