date,title,amount,payment_method
2025-12-01,Uber Uber *Trip Help.U,7.94,Crédito - Nubank
2025-12-01,Maioca Joao Paulo Ii,14.40,Crédito - Nubank
2025-12-01,Lave & Pegue Lavanderi,17.00,Crédito - Nubank
2025-12-01,Fruto do Rio,23.00,Crédito - Nubank
2025-11-30,Uber Uber *Trip Help.U,7.94,Crédito - Nubank
2025-11-29,Uber* Trip,10.95,Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,3.94,Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,3.93,Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,16.94,Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,4.74,Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,61.34,Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,10.94,Crédito - Nubank
2025-11-28,Uber* Trip,11.14,Crédito - Nubank
2025-11-28,Uber Uber *Trip Help.U,11.93,Crédito - Nubank
2025-11-28,Uber Uber *Trip Help.U,3.93,Crédito - Nubank
2025-11-28,Uber Uber *Trip Help.U,10.94,Crédito - Nubank
2025-11-27,Uber Uber *Trip Help.U,12.93,Crédito - Nubank
2025-11-26,Uber Uber *Trip Help.U,13.91,Crédito - Nubank
2025-11-26,Uber* Trip,10.96,Crédito - Nubank
2025-11-26,Google Youtube,16.90,Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,13.97,Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,18.95,Crédito - Nubank
2025-11-25,Uber* Trip,16.91,Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,6.97,Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,5.53,Crédito - Nubank
2025-11-25,Uber* Trip,7.13,Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,10.00,Crédito - Nubank
2025-11-24,Uber* Trip,22.93,Crédito - Nubank
2025-11-23,Uber Uber *Trip Help.U,12.99,Crédito - Nubank
2025-11-23,Uber Uber *Trip Help.U,4.72,Crédito - Nubank
2025-11-23,Uber Uber *Trip Help.U,14.93,Crédito - Nubank
2025-11-23,Dl*99 Ride,3.00,Crédito - Nubank
2025-11-22,Uber* Trip,7.94,Crédito - Nubank
2025-11-22,Uber* Trip,11.94,Crédito - Nubank
2025-11-20,Uber Uber *Trip Help.U,13.94,Crédito - Nubank
2025-11-20,Mrfox,75.00,Crédito - Nubank
2025-11-20,Uber* Trip,14.93,Crédito - Nubank
