date,title,amount,category, payment_method
2025-12-01,Uber Uber *Trip Help.U,7.94,Uber, Crédito - Nubank
2025-12-01,Maioca Joao Paulo Ii,14.4,Lanche, Crédito - Nubank
2025-12-01,Lave & Pegue Lavanderi,17.0,Lavanderia, Crédito - Nubank
2025-12-01,Fruto do Rio,23.0,Almoço, Crédito - Nubank
2025-11-30,Uber Uber *Trip Help.U,7.94,Uber, Crédito - Nubank
2025-11-29,Uber* Trip,10.95,Uber, Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,3.94,Uber, Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,3.93,Uber, Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,16.94,Uber, Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,4.74,Uber, Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,61.34,Uber, Crédito - Nubank
2025-11-29,Uber Uber *Trip Help.U,10.94,Uber, Crédito - Nubank
2025-11-28,Uber* Trip,11.14,Uber, Crédito - Nubank
2025-11-28,Uber Uber *Trip Help.U,11.93,Uber, Crédito - Nubank
2025-11-28,Uber Uber *Trip Help.U,3.93,Uber, Crédito - Nubank
2025-11-28,Uber Uber *Trip Help.U,10.94,Uber, Crédito - Nubank
2025-11-27,Uber Uber *Trip Help.U,12.93,Uber, Crédito - Nubank
2025-11-26,Uber Uber *Trip Help.U,13.91,Uber, Crédito - Nubank
2025-11-26,Uber* Trip,10.96,Uber, Crédito - Nubank
2025-11-26,Google Youtube,16.9,Streaming, Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,13.97,Uber, Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,18.95,Uber, Crédito - Nubank
2025-11-25,Uber* Trip,16.91,Uber, Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,6.97,Uber, Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,5.53,Uber, Crédito - Nubank
2025-11-25,Uber* Trip,7.13,Uber, Crédito - Nubank
2025-11-25,Uber Uber *Trip Help.U,10.0,Uber, Crédito - Nubank
2025-11-24,Uber* Trip,22.93,Uber, Crédito - Nubank
2025-11-23,Uber Uber *Trip Help.U,12.99,Uber, Crédito - Nubank
2025-11-23,Uber Uber *Trip Help.U,4.72,Uber, Crédito - Nubank
2025-11-23,Uber Uber *Trip Help.U,14.93,Uber, Crédito - Nubank
2025-11-23,Dl*99 Ride,3.0,Uber, Crédito - Nubank
2025-11-22,Uber* Trip,7.94,Uber, Crédito - Nubank
2025-11-22,Uber* Trip,11.94,Uber, Crédito - Nubank
2025-11-21,Dl*Google Crunch,19.99,Software, Crédito - Nubank
2025-11-20,Uber Uber *Trip Help.U,13.94,Uber, Crédito - Nubank
2025-11-20,Mrfox,75.0,Outros, Crédito - Nubank
2025-11-20,Uber* Trip,14.93,Uber, Crédito - Nubank
2025-11-18,Openai *Chatgpt Subscr,41.65,Software, Crédito - Nubank
2025-11-18,"IOF de ""Openai *Chatgpt Subscr""",1.45,Software, Crédito - Nubank
2025-11-18,Uber* Trip,17.99,Uber, Crédito - Nubank
2025-11-18,Uber* Trip,4.72,Uber, Crédito - Nubank
2025-11-17,Supermercado Lider Can,119.13,Supermercado, Crédito - Nubank
2025-11-17,Uber* Trip,4.72,Uber, Crédito - Nubank
2025-11-16,Uber Uber *Trip Help.U,17.95,Uber, Crédito - Nubank
