date,description,amount,category,payment_method
2025-10-01,Uber* Trip,9.92,Uber,Crédito - Nubank
2025-10-01,Uber* Trip,11.98,Uber,Crédito - Nubank
2025-09-29,Uber Uber *Trip Help.U,10.92,Uber,Crédito - Nubank
2025-09-29,G I Variedades,28.47,Casa,Crédito - Nubank
2025-09-29,Uber* Trip,7.93,Uber,Crédito - Nubank
2025-09-28,Ifd*Tostes Moreira Rib,38.42,Jantar,Crédito - Nubank
2025-09-28,Uber Uber *Trip Help.U,8.95,Uber,Crédito - Nubank
2025-09-28,Uber* Trip,12.94,Uber,Crédito - Nubank
2025-09-28,Uber* Trip,4.24,Uber,Crédito - Nubank
2025-09-28,Drogaria Modena,20.98,Farmácia,Crédito - Nubank
2025-09-27,Jurunense Home Center,75.9,Casa,Crédito - Nubank
2025-09-27,Uber* Trip,6.9,Uber,Crédito - Nubank
2025-09-27,Uber* Trip,7.96,Uber,Crédito - Nubank
2025-09-27,Pg *99 Ride,11.9,Uber,Crédito - Nubank
2025-09-27,Uber Uber *Trip Help.U,7.66,Uber,Crédito - Nubank
2025-09-26,Uber* Trip,4.42,Uber,Crédito - Nubank
2025-09-26,Uber Uber *Trip Help.U,10.93,Uber,Crédito - Nubank
2025-09-26,Uber* Trip,12.93,Uber,Crédito - Nubank
2025-09-26,Uber Uber *Trip Help.U,8.95,Uber,Crédito - Nubank
2025-09-26,Uber* Trip,4.42,Uber,Crédito - Nubank
2025-09-25,Supermercado Lider Can,133.99,Supermercado,Crédito - Nubank
2025-09-25,Uber Uber *Trip Help.U,8.92,Uber,Crédito - Nubank
2025-09-25,Uber Uber *Trip Help.U,7.93,Uber,Crédito - Nubank
2025-09-25,Burger King App,34.9,Lanche,Crédito - Nubank
2025-09-24,Uber* Trip,11.93,Uber,Crédito - Nubank
2025-09-24,Uber* Trip,12.96,Uber,Crédito - Nubank
2025-09-24,Uber Uber *Trip Help.U,6.94,Uber,Crédito - Nubank
2025-09-24,Uber* Trip,9.95,Uber,Crédito - Nubank
