date,description,amount,category,type,payment_method
2025-07-25,Pg *Cod3r Ensino Cod3r 2/3,33.95,Curso,expense,Crédito - Nubank
2025-07-25,Pbkaspersky 3/3,46.63,Software,expense,Crédito - Nubank
2025-07-25,Drogasil 2/3,49.59,Farmácia,expense,Crédito - Nubank
2025-07-25,Gran Centro Universita 6/6,94.88,Faculdade,expense,Crédito - Nubank
2025-07-25,Supermercado Lider Can,37.72,Supermercado,expense,Crédito - Nubank
2025-07-28,Uber Uber *Trip Help.U,25.93,Uber,expense,Crédito - Nubank
2025-07-28,Uber Uber *Trip Help.U,26.96,Uber,expense,Crédito - Nubank
2025-07-28,Cinepolis Operadora de,37.00,Cinema,expense,Crédito - Nubank
2025-07-28,Tudo Conveniencia,41.45,Outros,expense,Crédito - Nubank
2025-07-27,Big Parque Verde,26.90,Outros,expense,Crédito - Nubank
2025-07-27,99app *99app,4.70,Uber,expense,Crédito - Nubank
2025-07-27,99app *99app,11.50,Uber,expense,Crédito - Nubank
2025-07-27,Americanas,24.86,Lanche,expense,Crédito - Nubank
2025-07-25,Supermercado Lider Can 2/2,109.50,Supermercado,expense,Crédito - Nubank
2025-08-03,99app *99app,4.70,Uber,expense,Crédito - Nubank
2025-08-03,Ricardorafael,67.00,Outros,expense,Crédito - Nubank
2025-08-02,Dm *Spotify,34.90,Streaming,expense,Crédito - Nubank
2025-08-02,Supermercado Lider Can,194.36,Supermercado,expense,Crédito - Nubank
2025-08-01,Uber Uber *Trip Help.U,11.95,Uber,expense,Crédito - Nubank
2025-07-31,DI *Google Youtubeprem,53.90,Streaming,expense,Crédito - Nubank
2025-07-30,Uber Uber *Trip Help.U,12.94,Uber,expense,Crédito - Nubank
2025-07-30,Uber *Trip,13.98,Uber,expense,Crédito - Nubank
2025-07-30,Supermercado Lider Can,231.46,Supermercado,expense,Crédito - Nubank
2025-07-29,Uber Uber *Trip Help.U,10.92,Uber,expense,Crédito - Nubank
2025-08-11,Uber *Trip,44.91,Uber,expense,Crédito - Nubank
2025-08-11,Sagitario - Whebe,119.00,Quarto,expense,Crédito - Nubank
2025-08-11,Uber *Trip,27.57,Uber,expense,Crédito - Nubank
2025-08-11,Uber *Trip,6.11,Uber,expense,Crédito - Nubank
2025-08-11,Netflix Entretenimento,59.90,Streaming,expense,Crédito - Nubank
2025-08-09,DI *Google Youtube,6.99,Streaming,expense,Crédito - Nubank
2025-08-07,Uber Uber *Trip Help.U,9.97,Uber,expense,Crédito - Nubank
2025-08-07,Uber *Trip,11.96,Uber,expense,Crédito - Nubank
2025-08-06,Supermercado Lider Can,196.32,Supermercado,expense,Crédito - Nubank
2025-08-05,99app *99app,3.00,Uber,expense,Crédito - Nubank
2025-08-05,99app *99app,5.40,Uber,expense,Crédito - Nubank
2025-08-03,99app *99app,5.10,Uber,expense,Crédito - Nubank
2025-08-16,Pg *Cod3r Ensino Cod3r 3/3,33.95,Curso,expense,Crédito - Nubank
2025-08-16,Drogasil 3/3,49.59,Farmácia,expense,Crédito - Nubank
2025-08-16,Supermercado Lider Can,121.37,Supermercado,expense,Crédito - Nubank
2025-08-16,Jetshr,6.23,Lazer,expense,Crédito - Nubank
2025-08-16,Jetshr,8.67,Lazer,expense,Crédito - Nubank
2025-08-16,Jetshr,10.00,Lazer,expense,Crédito - Nubank
2025-08-16,Jetshr,1.90,Lazer,expense,Crédito - Nubank
2025-08-16,Jetshr,35.00,Lazer,expense,Crédito - Nubank

