date,description,amount,category,type,payment_method
2025-04-23,Uber Uber Trip Help.U,27.14,Uber,expense,Crédito - Nubank
2025-04-23,Uber Uber Trip Help.U,10.99,Uber,expense,Crédito - Nubank
2025-04-22,Supermercado Lider Can,69.39,Supermercado,expense,Crédito - Nubank
2025-04-22,Supermercado Lider Can,29.9,Supermercado,expense,Crédito - Nubank
2025-04-22,Uber Uber Trip Help.U,8.95,Uber,expense,Crédito - Nubank
2025-04-22,Google Ellation,19.99,Streaming,expense,Crédito - Nubank
2025-04-22,Uber Uber Trip Help.U,6.69,Uber,expense,Crédito - Nubank
2025-04-21,Uber Trip,9.94,Uber,expense,Crédito - Nubank
2025-04-21,Uber Uber Trip Help.U,6.96,Uber,expense,Crédito - Nubank
2025-04-20,Uber Uber Trip Help.U,7.95,Uber,expense,Crédito - Nubank
2025-04-20,Uber Uber Trip Help.U,7.95,Uber,expense,Crédito - Nubank
2025-04-20,Lider Supermercado e M,62.17,Supermercado,expense,Crédito - Nubank
2025-04-20,Uber Uber Trip Help.U,7.18,Uber,expense,Crédito - Nubank
2025-04-20,Uber Trip,9.93,Uber,expense,Crédito - Nubank
2025-04-20,Uber Uber Trip Help.U,7.98,Uber,expense,Crédito - Nubank
2025-04-20,Uber Trip,12.91,Uber,expense,Crédito - Nubank
2025-04-19,Uber Uber Trip Help.U,7.91,Uber,expense,Crédito - Nubank
2025-04-19,Uber Uber Trip Help.U,7.07,Uber,expense,Crédito - Nubank
2025-04-19,Supermercado Lider Canudos,464.2,Supermercado,expense,Crédito - Nubank
2025-04-19,Extrafarma Braz de Agu,22.45,Farmácia,expense,Crédito - Nubank
2025-04-19,Uber Trip,6.99,Uber,expense,Crédito - Nubank
2025-04-18,Uber Uber Trip Help.U,8.97,Uber,expense,Crédito - Nubank
2025-04-18,Google Youtube Member,7.99,Streaming,expense,Crédito - Nubank
2025-04-18,Uber Uber Trip Help.U,6.91,Uber,expense,Crédito - Nubank
2025-04-18,Uber Trip,13.94,Uber,expense,Crédito - Nubank
2025-04-17,Uber Trip,10.95,Uber,expense,Crédito - Nubank
2025-04-17,Uber Uber Trip Help.U,15.96,Uber,expense,Crédito - Nubank
2025-04-16,Uber Trip,8.91,Uber,expense,Crédito - Nubank
2025-04-16,Uber Trip,7.91,Uber,expense,Crédito - Nubank
2025-04-16,Uber Uber Trip Help.U,12.96,Uber,expense,Crédito - Nubank
2025-04-15,Uber Uber Trip Help.U,13.94,Uber,expense,Crédito - Nubank
2025-04-14,Supermercado Lider Canudos,180,Supermercado,expense,Crédito - Nubank
2025-04-14,Supermercado Lider Canudos,169.65,Supermercado,expense,Crédito - Nubank
2025-04-13,Uber Trip,7.98,Uber,expense,Crédito - Nubank
2025-04-13,Uber Trip,4.72,Uber,expense,Crédito - Nubank
2025-04-13,Uber Trip,9.92,Uber,expense,Crédito - Nubank
2025-04-13,253mateus Supermercado,34.48,Supermercado,expense,Crédito - Nubank
2025-04-13,Uber Uber Trip Help.U,12,Uber,expense,Crédito - Nubank
2025-04-13,G I Variedades,45.11,Outros,expense,Crédito - Nubank
2025-04-13,Posto Gasolina,21.92,Carro,expense,Crédito - Nubank
2025-04-12,Uber Trip,9.98,Uber,expense,Crédito - Nubank
2025-04-12,Cerveja Uriboca,49,Lazer,expense,Crédito - Nubank
2025-04-12,Barbadeurso,65,Lazer,expense,Crédito - Nubank
2025-04-11,Uber Uber Trip Help.U,7.92,Uber,expense,Crédito - Nubank
2025-04-11,Netflix.Com,59.9,Streaming,expense,Crédito - Nubank
2025-04-11,Uber Trip,12.91,Uber,expense,Crédito - Nubank
2025-04-11,Uber Trip,13.91,Uber,expense,Crédito - Nubank
2025-04-11,Uber Trip,6.08,Uber,expense,Crédito - Nubank
2025-04-11,Drogasil,325.94,Farmácia,expense,Crédito - Nubank
2025-04-10,Amazon Filtro do Bebedouro,124.9,Amazon,expense,Crédito - Nubank
2025-04-10,Google Youtube,6.99,Streaming,expense,Crédito - Nubank
2025-04-10,Uber Trip,22.99,Uber,expense,Crédito - Nubank
2025-04-10,Uber Uber Trip Help.U,10.93,Uber,expense,Crédito - Nubank
2025-04-10,Uber Trip,32.9,Uber,expense,Crédito - Nubank
2025-04-07,Uber Trip,11.94,Uber,expense,Crédito - Nubank
2025-04-07,Uber Trip,12.91,Uber,expense,Crédito - Nubank
2025-04-06,Uber Uber Trip Help.U,11.96,Uber,expense,Crédito - Nubank
2025-04-06,Uber Uber Trip Help.U,14.9,Uber,expense,Crédito - Nubank
2025-04-06,Uber Uber Trip Help.U,12.9,Uber,expense,Crédito - Nubank
2025-04-04,Uber Uber Trip Help.U,9.02,Uber,expense,Crédito - Nubank
2025-04-04,Dm Helpmaxcom,39.9,Software,expense,Crédito - Nubank
2025-04-04,Drogasil,66.46,Farmácia,expense,Crédito - Nubank
2025-04-04,Uber Trip,13.97,Uber,expense,Crédito - Nubank
2025-04-03,Uber Uber Trip Help.U,12.98,Uber,expense,Crédito - Nubank
2025-04-03,Uber Trip,7.97,Uber,expense,Crédito - Nubank
2025-04-03,Uber Trip,11.9,Uber,expense,Crédito - Nubank
2025-04-03,Uber Uber Trip Help.U,6.98,Uber,expense,Crédito - Nubank
2025-04-02,Dm Twitch,9.9,Streaming,expense,Crédito - Nubank
2025-04-01,Uber Uber Trip Help.U,12.94,Uber,expense,Crédito - Nubank
2025-03-31,Uber Trip,11.91,Uber,expense,Crédito - Nubank
2025-03-31,Uber Uber Trip Help.U,12.96,Uber,expense,Crédito - Nubank
2025-03-31,Uber Uber Trip Help.U,13.56,Uber,expense,Crédito - Nubank
2025-03-31,R A C Buteco,133,Lazer,expense,Crédito - Nubank
2025-03-30,Uber Uber Trip Help.U,11.96,Uber,expense,Crédito - Nubank
2025-03-30,Uber Uber Trip Help.U,12.96,Uber,expense,Crédito - Nubank
2025-03-27,Uber Trip,12.98,Uber,expense,Crédito - Nubank
2025-03-27,Uber Trip,6.98,Uber,expense,Crédito - Nubank
2025-03-27,Uber Trip,7.96,Uber,expense,Crédito - Nubank
2025-03-27,Lider Duque,35.47,Supermercado,expense,Crédito - Nubank
2025-03-27,Uber Trip,9.98,Uber,expense,Crédito - Nubank
2025-03-27,Lider Duque,28.9,Supermercado,expense,Crédito - Nubank
2025-03-26,Uber Trip,14.92,Uber,expense,Crédito - Nubank
2025-03-26,Uber Uber Trip Help.U,14.07,Uber,expense,Crédito - Nubank
2025-03-25,Uber Uber Trip Help.U,7.91,Uber,expense,Crédito - Nubank
2025-03-25,Amazon,19.8,Amazon,expense,Crédito - Nubank
