date,title,amount
2025+AC0-06+AC0-23,Pbkaspersky +AC0- Parcela 1/3,46.64
2025+AC0-06+AC0-22,Mirakuru Street Food,100
2025+AC0-06+AC0-21,Uber+ACo- Trip,9.98
2025+AC0-06+AC0-21,Lider Supermercado e M,137.37
2025+AC0-06+AC0-19,Uber+ACo- Trip,16.69
2025+AC0-06+AC0-19,99app +ACo-99app,9.5
2025+AC0-06+AC0-19,Uber Uber +ACo-Trip Help.U,9.91
2025+AC0-06+AC0-18,Dl +ACo-Google Youtube Mem,7.99
2025+AC0-06+AC0-18,Extrafarma Cearajoao P,34.43
2025+AC0-06+AC0-17,Mp +ACo-Melimais,24.9
2025+AC0-06+AC0-17,Amazonmktplc+ACo-Bazampich,109.9
2025+AC0-06+AC0-16,Supermercado Lider Can,299.41
2025+AC0-06+AC0-13,Www+AF8-contabo+AF8-com,38.27
2025+AC0-06+AC0-13,Uber+ACo- Trip,19.95
2025+AC0-06+AC0-13,+ACI-IOF de +ACIAIg-Www+AF8-contabo+AF8-com+ACIAIg-+ACI-,1.33
2025+AC0-06+AC0-13,Lider Supermercado e M,188.85
2025+AC0-06+AC0-12,Uber Uber +ACo-Trip Help.U,10.95
2025+AC0-06+AC0-12,Uber+ACo- Trip,9.94
2025+AC0-06+AC0-11,Tudo Conveniencia,7.67
2025+AC0-06+AC0-11,Tapete Amazonmktplc+ACo-Taxregist,65.9
2025+AC0-06+AC0-09,Dl +ACo-Google Youtube,6.99
2025+AC0-06+AC0-08,Uber+ACo- Trip,22.98
2025+AC0-06+AC0-08,Uber+ACo- Trip,16.98
2025+AC0-06+AC0-08,Supermercado Lider Can,55.43
2025+AC0-06+AC0-08,Zig+ACo-Studio Pub,76.98
2025+AC0-06+AC0-08,Amorecaneladec,38.39
2025+AC0-06+AC0-07,Frangao da Duque,41.32
2025+AC0-06+AC0-06,Uber+ACo- Trip,8.92
2025+AC0-06+AC0-06,Uber Uber +ACo-Trip Help.U,12.93
2025+AC0-06+AC0-06,Uber Uber +ACo-Trip Help.U,6.92
2025+AC0-06+AC0-06,Extrafarma Cearajoao P,58.39
2025+AC0-06+AC0-06,Lider Supermercado e M,56.99
2025+AC0-06+AC0-06,99app +ACo-99app,7.2
2025+AC0-06+AC0-06,L do S P de Oliveira L,75
2025+AC0-06+AC0-06,Uber Uber +ACo-Trip Help.U,9.98
2025+AC0-06+AC0-06,Uber+ACo- Trip,10.32
2025+AC0-06+AC0-05,Uber Uber +ACo-Trip Help.U,8.92
2025+AC0-06+AC0-05,Supermercado Formosa,87.8
2025+AC0-06+AC0-05,99app +ACo-99app,4.4
2025+AC0-06+AC0-05,Supermercado Formosa,28.68
2025+AC0-06+AC0-05,Uber Uber +ACo-Trip Help.U,10.96
2025+AC0-06+AC0-05,Uber Uber +ACo-Trip Help.U,7.9
2025+AC0-06+AC0-05,Supermercado Formosa,96.8
2025+AC0-06+AC0-04,Uber Uber +ACo-Trip Help.U,6.14
2025+AC0-06+AC0-04,Uber+ACo- Trip,2.1
2025+AC0-06+AC0-04,Uber+ACo- Trip,10.92
2025+AC0-06+AC0-03,Supermercado Lider Can,222.43
2025+AC0-06+AC0-02,Supermercado Lider Can,46.88
2025+AC0-06+AC0-02,Supermercado Lider Can,164.97
2025+AC0-06+AC0-01,Burger King App,41.4
2025+AC0-06+AC0-01,Burger King,56.4
2025+AC0-06+AC0-01,99app +ACo-99app,18
2025+AC0-06+AC0-01,Intimacomerciode,69
2025+AC0-06+AC0-01,Ingresso.Com,76.8
2025+AC0-06+AC0-01,Amazon,45.37
2025+AC0-06+AC0-01,Uber+ACo- Trip,24.98
2025+AC0-05+AC0-31,Cursor Ai Powered Ide,118.74
2025+AC0-05+AC0-31,+ACI-IOF de +ACIAIg-Cursor Ai Powered Ide+ACIAIg-+ACI-,4.15
2025+AC0-05+AC0-31,Google Youtubepremium,53.9
2025+AC0-05+AC0-30,Uber+ACo- Trip,8.96
2025+AC0-05+AC0-30,99app +ACo-99app,6.1
2025+AC0-05+AC0-30,Uber+ACo- Trip,5.34
2025+AC0-05+AC0-30,Tudo Conveniencia,18.56
2025+AC0-05+AC0-29,Ingresso.Com,53.76
2025+AC0-05+AC0-29,Ingresso.Com,72.96
2025+AC0-05+AC0-29,Gold Fitness,100
2025+AC0-05+AC0-29,99app +ACo-99app,6.9
2025+AC0-05+AC0-28,Uber Uber +ACo-Trip Help.U,9.92
2025+AC0-05+AC0-28,Uber+ACo- Trip,8.9
2025+AC0-05+AC0-28,Resenha Prime,11
2025+AC0-05+AC0-28,Supermercado Lider Can,141.16
2025+AC0-05+AC0-27,Lavanderia Mariabonita,16.9
2025+AC0-05+AC0-27,Tudo Conveniencia,5.04
2025+AC0-05+AC0-27,Tudo Conveniencia,15.98
2025+AC0-05+AC0-27,Lavanderia Mariabonita,16.9
2025+AC0-05+AC0-27,Tudo Conveniencia,4.99
2025+AC0-05+AC0-27,Supermercado Lider Can,226.38
2025+AC0-05+AC0-27,Casatxtil,64.87
2025+AC0-05+AC0-27,Lavanderia Mariabonita,16.9
2025+AC0-05+AC0-26,Uber Uber +ACo-Trip Help.U,20.03
2025+AC0-05+AC0-26,Geloou Sorveteria,98
2025+AC0-05+AC0-25,Edinaldo Lucena dos S,66.09
2025+AC0-05+AC0-25,Mirakuru Street Food,174
2025+AC0-05+AC0-25,Uber+ACo- Trip,12.98
2025+AC0-05+AC0-25,Stockmaterialde,11
