date,description,amount,category,type,payment_method
2025-06-23,Pbkaspersky - Parcela 1/3,46.64,Software,expense,Crédito - Nubank
2025-06-22,Mirakuru Street Food,100,Lazer,expense,Crédito - Nubank
2025-06-21,Uber* Trip,9.98,Uber,expense,Crédito - Nubank
2025-06-21,Lider Supermercado e M,137.37,Supermercado,expense,Crédito - Nubank
2025-06-19,Uber* Trip,16.69,Uber,expense,Crédito - Nubank
2025-06-19,99app *99app,9.5,Uber,expense,Crédito - Nubank
2025-06-19,Uber Uber *Trip Help.U,9.91,Uber,expense,Crédito - Nubank
2025-06-18,Google Youtube Mem,7.99,Streaming,expense,Crédito - Nubank
2025-06-18,Extrafarma Cearajoao P,34.43,Farmácia,expense,Crédito - Nubank
2025-06-17,Melimais,24.9,Outros,expense,Crédito - Nubank
2025-06-17,Amazonmktplc*Bazampich,109.9,Amazon,expense,Crédito - Nubank
2025-06-16,Supermercado Lider Can,299.41,Supermercado,expense,Crédito - Nubank
2025-06-13,Www_contabo_com,38.27,Software,expense,Crédito - Nubank
2025-06-13,Uber* Trip,19.95,Uber,expense,Crédito - Nubank
2025-06-13,Www_contabo_com,1.33,Software,expense,Crédito - Nubank
2025-06-13,Lider Supermercado e M,188.85,Supermercado,expense,Crédito - Nubank
2025-06-12,Uber Uber *Trip Help.U,10.95,Uber,expense,Crédito - Nubank
2025-06-12,Uber* Trip,9.94,Uber,expense,Crédito - Nubank
2025-06-11,Tudo Conveniencia,7.67,Outros,expense,Crédito - Nubank
2025-06-11,Tapete Amazonmktplc*Taxregist,65.9,Amazon,expense,Crédito - Nubank
2025-06-09,Google Youtube,6.99,Streaming,expense,Crédito - Nubank
2025-06-08,Uber* Trip,22.98,Uber,expense,Crédito - Nubank
2025-06-08,Uber* Trip,16.98,Uber,expense,Crédito - Nubank
2025-06-08,Supermercado Lider Can,55.43,Supermercado,expense,Crédito - Nubank
2025-06-08,Zig*Studio Pub,76.98,Jantar,expense,Crédito - Nubank
2025-06-08,Amorecaneladec,38.39,Outros,expense,Crédito - Nubank
2025-06-07,Frangao da Duque,41.32,Almoço,expense,Crédito - Nubank
2025-06-06,Uber* Trip,8.92,Uber,expense,Crédito - Nubank
2025-06-06,Uber Uber *Trip Help.U,12.93,Uber,expense,Crédito - Nubank
